
****************************************************
ITLA Hex Dump
Temperature = 25
****************************************************
00000000	00000016
00000001	00000000
00000002	00000000
00000003	00000000
00000004	00000000
00000005	00000000
00000006	00000000
00000007	00000000
00000008	00000000
00000009	00016640
0000000A	00001893
0000000B	00020566
0000000C	00000000
0000000D	00000004
0000000E	00022272
0000000F	00000000
00000010	00000000
00000011	00000000
00000012	00000000
00000013	00000000
00000014	00000256
00000015	00000000
00000016	00000000
00000017	00000000
00000018	00000000
00000019	00000000
0000001A	00000000
0000001B	00000000
0000001C	00000000
0000001D	00000000
0000001E	00000000
0000001F	00000000
00000020	00000000
00000021	00000000
00000022	00001000
00000023	00000176
00000024	00000100
00000025	00000025
00000026	00005000
00000027	00002000
00000028	00007679
00000029	00000015
0000002A	00003341
0000002B	00000000
0000002C	00000000
0000002D	00000000
0000002E	00000000
0000002F	00000000
00000030	00000001
00000031	00001602
00000032	00000008
00000033	00000004
00000034	00000500
00000035	00000193
00000036	00005000
00000037	00000000
00000038	00000000
00000039	00000000
0000003A	00000000
0000003B	00000000
0000003C	00000000
0000003D	00000000
0000003E	00000000
0000003F	00000000
00000040	00000193
00000041	00005000
00000042	00001602
00000043	00005000
00000044	00000000
00000045	00000000
00000046	00000000
00000047	00000000
00000048	00000000
00000049	00000000
0000004A	00000000
0000004B	00000000
0000004C	00000000
0000004D	00000000
0000004E	00000000
0000004F	00006000
00000050	00001000
00000051	00001602
00000052	00000191
00000053	00001200
00000054	00000196
00000055	00003000
00000056	00000001
00000057	00000000
00000058	00000000
00000059	00000000
0000005A	00000000
0000005B	00000000
0000005C	00000000
0000005D	00000000
0000005E	00000000
0000005F	00000100
00000060	00000090
00000061	00000000
00000062	00000000
00000063	00000000
00000064	00000000
00000065	00000000
00000066	00000000
00000067	00000000
00000068	00000000
00000069	00000000
0000006A	00000000
0000006B	00000000
0000006C	00000000
0000006D	00000000
0000006E	00000000
0000006F	00000000
00000070	00000000
00000071	00000000
00000072	00000000
00000073	00000000
00000074	00000000
00000075	00000000
00000076	00000000
00000077	00000000
00000078	00000000
00000079	00000000
0000007A	00000000
0000007B	00000000
0000007C	00000000
0000007D	00000000
0000007E	00000000
0000007F	00000000
00000080	00000000
00000081	00000000
00000082	00000000
00000083	00000000
00000084	00000000
00000085	00000000
00000086	00000000
00000087	00000000
00000088	00000000
00000089	00000000
0000008A	00000000
0000008B	00000000
0000008C	00000000
0000008D	00000000
0000008E	00000000
0000008F	00000000
00000090	00000000
00000091	00000000
00000092	00000001
00000093	00000000
00000094	00000031
00000095	00000000

